question_text,unit_id,marks,question_type,co_id,bloom_level
"Explain dialogue generation systems using neural networks.",5,14,Essay,CO5,K4
"Analyze challenges in object detection systems.",5,14,Essay,CO5,K4
"Explain the importance of attention-based models.",5,14,Essay,CO5,K4
"Discuss NLP tasks such as NER, sentiment analysis, and parsing.",5,14,Essay,CO5,K4
"Explain multimodal learning with vision and language.",5,14,Essay,CO5,K4
"Compare traditional and deep learning approaches in NLP.",5,14,Essay,CO5,K4
"Discuss real-world applications of computer vision.",5,14,Essay,CO5,K4
"Explain evaluation metrics for object detection and segmentation.",5,14,Essay,CO5,K4
"Analyze future trends in vision and NLP systems.",5,14,Essay,CO5,K4
"What is the basic processing unit of a neural network? (a) Layer (b) Neuron (c) Weight (d) Bias",1,0.5,MCQ,CO1,K1
"Which problem cannot be solved by a single-layer perceptron? (a) AND (b) OR (c) XOR (d) NAND",1,0.5,MCQ,CO1,K1
"Which activation function is used in a perceptron? (a) Sigmoid (b) ReLU (c) Step (d) Tanh",1,0.5,MCQ,CO1,K1
"In a feedforward neural network, data flows (a) cyclically (b) backward only (c) forward only (d) randomly",1,0.5,MCQ,CO1,K1
"Which algorithm is used to train multi-layer neural networks? (a) Hebbian (b) Backpropagation (c) K-Means (d) PCA",1,0.5,MCQ,CO1,K1
"The role of bias in a neuron is to (a) increase learning rate (b) shift activation function (c) normalize input (d) reduce loss",1,0.5,MCQ,CO1,K1
"Which component introduces non-linearity in a neural network? (a) Weight (b) Bias (c) Activation function (d) Input",1,0.5,MCQ,CO1,K1
"The output of a neuron is computed using (a) summation only (b) weighted sum + activation (c) normalization (d) convolution",1,0.5,MCQ,CO1,K1
"What does the loss function measure? (a) Accuracy (b) Error (c) Gradient (d) Weight",1,0.5,MCQ,CO1,K1
"Which parameter controls the step size during training? (a) Epoch (b) Momentum (c) Learning rate (d) Bias",1,0.5,MCQ,CO1,K1
"Backpropagation propagates error in which direction? (a) Forward (b) Backward (c) Random (d) Circular",1,0.5,MCQ,CO1,K1
"A neural network without hidden layers is called (a) Deep network (b) MLP (c) Single-layer perceptron (d) CNN",1,0.5,MCQ,CO1,K1
"Which function outputs values between 0 and 1? (a) ReLU (b) Tanh (c) Sigmoid (d) Linear",1,0.5,MCQ,CO1,K1
"Which condition is required for backpropagation? (a) Binary output (b) Differentiable activation (c) Discrete weights (d) Linear model",1,0.5,MCQ,CO1,K2
"The main goal of neural network training is to (a) maximize weights (b) minimize loss (c) increase layers (d) randomize bias",1,0.5,MCQ,CO1,K2
"Gradient descent updates weights in the direction of (a) maximum loss (b) minimum gradient (c) negative gradient (d) random vector",2,0.5,MCQ,CO2,K1
"Which problem slows learning in deep networks? (a) Overfitting (b) Vanishing gradient (c) Underfitting (d) Normalization",2,0.5,MCQ,CO2,K1
"Which activation helps reduce vanishing gradient? (a) Sigmoid (b) Tanh (c) ReLU (d) Step",2,0.5,MCQ,CO2,K1
"Dropout is mainly used to (a) speed training (b) reduce overfitting (c) normalize data (d) increase depth",2,0.5,MCQ,CO2,K1
"L2 regularization is also called (a) Lasso (b) Ridge (c) Dropout (d) Momentum",2,0.5,MCQ,CO2,K1
"Which optimizer uses momentum and adaptive learning rate? (a) SGD (b) RMSProp (c) Adam (d) Adagrad",2,0.5,MCQ,CO2,K1
"Batch Normalization helps by (a) increasing bias (b) reducing internal covariate shift (c) increasing parameters (d) removing layers",2,0.5,MCQ,CO2,K1
"Exploding gradients cause gradients to become (a) zero (b) constant (c) very large (d) negative",2,0.5,MCQ,CO2,K1
"Which regularization can produce sparse weights? (a) L1 (b) L2 (c) Dropout (d) BatchNorm",2,0.5,MCQ,CO2,K1
"Momentum in gradient descent helps to (a) reduce learning rate (b) avoid oscillations (c) increase loss (d) stop training",2,0.5,MCQ,CO2,K1
"Which method randomly drops neurons during training? (a) L2 (b) Dropout (c) Adam (d) Momentum",2,0.5,MCQ,CO2,K1
"Nesterov’s method differs by using (a) random update (b) lookahead gradient (c) larger batch (d) no momentum",2,0.5,MCQ,CO2,K2
"Mini-batch gradient descent updates weights using (a) all samples (b) one sample (c) subset of samples (d) test data",2,0.5,MCQ,CO2,K2
"Too high learning rate may cause (a) slow learning (b) convergence (c) divergence (d) regularization",2,0.5,MCQ,CO2,K2
"Which technique improves generalization? (a) Overfitting (b) Regularization (c) Large epochs (d) High LR",2,0.5,MCQ,CO2,K2
"The main purpose of convolution in CNN is to (a) classify images (b) extract features (c) reduce loss (d) normalize data",3,0.5,MCQ,CO3,K1
"Which layer reduces spatial dimensions? (a) Convolution (b) Pooling (c) ReLU (d) Flatten",3,0.5,MCQ,CO3,K1
"Which pooling takes maximum value? (a) Avg (b) Max (c) Sum (d) Median",3,0.5,MCQ,CO3,K1
"Filters in CNN are also called (a) neurons (b) kernels (c) weights (d) nodes",3,0.5,MCQ,CO3,K1
"Stride controls (a) filter size (b) filter movement (c) padding (d) channels",3,0.5,MCQ,CO3,K1
"Padding is used to (a) reduce size (b) maintain size (c) increase loss (d) remove noise",3,0.5,MCQ,CO3,K1
"Which activation is commonly used in CNNs? (a) Sigmoid (b) ReLU (c) Tanh (d) Step",3,0.5,MCQ,CO3,K1
"Pooling layers have (a) many parameters (b) no parameters (c) few parameters (d) adaptive weights",3,0.5,MCQ,CO3,K1
"Weight sharing reduces (a) accuracy (b) computation (c) parameters (d) depth",3,0.5,MCQ,CO3,K1
"Which CNN model is pre-trained? (a) KNN (b) VGG16 (c) PCA (d) SVM",3,0.5,MCQ,CO3,K1
"Flattening converts feature maps into (a) matrix (b) tensor (c) vector (d) image",3,0.5,MCQ,CO3,K1
"1×1 convolution is used for (a) feature extraction (b) dimension reduction (c) pooling (d) padding",3,0.5,MCQ,CO3,K2
"Deeper CNN layers capture (a) edges (b) textures (c) high-level features (d) noise",3,0.5,MCQ,CO3,K2
"Transfer learning uses (a) random weights (b) pre-trained weights (c) no training (d) PCA",3,0.5,MCQ,CO3,K2
"CNNs are best suited for (a) tabular data (b) sequence data (c) image data (d) graph data",3,0.5,MCQ,CO3,K2
"RNNs are best suited for (a) image data (b) tabular data (c) sequence data (d) graph data",4,0.5,MCQ,CO4,K1
"Which problem affects RNNs? (a) Overfitting (b) Vanishing gradient (c) Normalization (d) Dropout",4,0.5,MCQ,CO4,K1
"LSTM is designed to overcome (a) overfitting (b) vanishing gradient (c) underfitting (d) normalization",4,0.5,MCQ,CO4,K1
"Which gate decides what to forget in LSTM? (a) Input (b) Forget (c) Output (d) Update",4,0.5,MCQ,CO4,K1
"GRU has (a) more gates than LSTM (b) fewer gates than LSTM (c) same gates (d) no gates",4,0.5,MCQ,CO4,K1
"Autoencoders are trained using (a) supervised learning (b) unsupervised learning (c) reinforcement learning (d) transfer learning",4,0.5,MCQ,CO4,K1
"A GAN consists of (a) encoder–decoder (b) generator–discriminator (c) CNN–RNN (d) actor–critic",4,0.5,MCQ,CO4,K1
"Which component generates fake data in GAN? (a) Discriminator (b) Generator (c) Encoder (d) Decoder",4,0.5,MCQ,CO4,K1
"VAEs introduce (a) determinism (b) sparsity (c) stochasticity (d) dropout",4,0.5,MCQ,CO4,K1
"Encoder–Decoder models are used in (a) clustering (b) translation (c) regression (d) sorting",4,0.5,MCQ,CO4,K1
"Hidden state in RNN acts as (a) memory (b) weight (c) bias (d) loss",4,0.5,MCQ,CO4,K1
"GAN training is formulated as (a) minimization (b) classification (c) min–max game (d) clustering",4,0.5,MCQ,CO4,K2
"BPTT stands for (a) Backpropagation Through Time (b) Batch Processing Time (c) Backward Transfer Tech (d) Bias Propagation",4,0.5,MCQ,CO4,K2
"GRU merges input and forget gates into (a) output gate (b) update gate (c) reset gate (d) hidden gate",4,0.5,MCQ,CO4,K2
"LSTMs are widely used in (a) image filtering (b) sequence modeling (c) clustering (d) PCA",4,0.5,MCQ,CO4,K2
"Object detection identifies (a) class only (b) pixels only (c) class and location (d) color only",5,0.5,MCQ,CO5,K1
"YOLO is a (a) two-stage detector (b) one-stage detector (c) classifier (d) segmenter",5,0.5,MCQ,CO5,K1
"Semantic segmentation assigns labels to (a) objects (b) pixels (c) images (d) regions",5,0.5,MCQ,CO5,K1
"Instance segmentation differs by identifying (a) pixels only (b) object instances (c) classes only (d) edges",5,0.5,MCQ,CO5,K1
"Image captioning generates (a) labels (b) bounding boxes (c) text descriptions (d) masks",5,0.5,MCQ,CO5,K1
"NER stands for (a) Neural Entity Recognition (b) Named Entity Recognition (c) Network Extraction Rule (d) Node Entity Relation",5,0.5,MCQ,CO5,K1
"Sentiment analysis identifies (a) syntax (b) entities (c) emotion/opinion (d) grammar",5,0.5,MCQ,CO5,K1
"Attention mechanism helps models focus on (a) all inputs equally (b) important parts (c) noise (d) gradients",5,0.5,MCQ,CO5,K1
"Sentence classification assigns labels to (a) words (b) sentences (c) pixels (d) nodes",5,0.5,MCQ,CO5,K1
"Recursive Neural Networks are suitable for (a) images (b) trees (c) graphs (d) tables",5,0.5,MCQ,CO5,K1
"Video-to-text generation captures (a) spatial info only (b) temporal info (c) color info (d) noise",5,0.5,MCQ,CO5,K2
"Transformers mainly rely on (a) CNNs (b) RNNs (c) attention (d) pooling",5,0.5,MCQ,CO5,K2
"Opinion mining is another term for (a) parsing (b) translation (c) sentiment analysis (d) tagging",5,0.5,MCQ,CO5,K2
"Dialogue systems mainly require (a) image modeling (b) sequence modeling (c) clustering (d) PCA",5,0.5,MCQ,CO5,K2
"Multimodal learning combines (a) text only (b) image only (c) vision and language (d) audio only",5,0.5,MCQ,CO5,K2
"A neuron computes a weighted sum of inputs before applying an activation function. Write True or False.",1,0.5,True_False,CO1,K1
"A single-layer perceptron can solve non-linearly separable problems. Write True or False.",1,0.5,True_False,CO1,K1
"Bias allows a neuron to activate even when all inputs are zero. Write True or False.",1,0.5,True_False,CO1,K1
"Backpropagation is applicable only to single-layer neural networks. Write True or False.",1,0.5,True_False,CO1,K1
"Feedforward neural networks do not contain cycles. Write True or False.",1,0.5,True_False,CO1,K1
"Activation functions introduce non-linearity into neural networks. Write True or False.",1,0.5,True_False,CO1,K1
"The learning rate determines how fast the weights are updated. Write True or False.",1,0.5,True_False,CO1,K1
"The loss function evaluates the performance of a neural network. Write True or False.",1,0.5,True_False,CO1,K1
"Gradient descent minimizes the loss function during training. Write True or False.",1,0.5,True_False,CO1,K1
"A multi-layer perceptron can approximate complex non-linear functions. Write True or False.",1,0.5,True_False,CO1,K2
"Gradient descent always converges to a global minimum. Write True or False.",2,0.5,True_False,CO2,K1
"Vanishing gradient problem is more severe in deep neural networks. Write True or False.",2,0.5,True_False,CO2,K1
"ReLU activation helps alleviate vanishing gradient issues. Write True or False.",2,0.5,True_False,CO2,K1
"Dropout is applied during both training and inference phases. Write True or False.",2,0.5,True_False,CO2,K1
"L1 regularization encourages sparsity in weight values. Write True or False.",2,0.5,True_False,CO2,K1
"Batch Normalization reduces internal covariate shift. Write True or False.",2,0.5,True_False,CO2,K1
"Exploding gradients can cause numerical instability. Write True or False.",2,0.5,True_False,CO2,K1
"Momentum helps gradient descent converge faster. Write True or False.",2,0.5,True_False,CO2,K1
"Adam optimizer uses adaptive learning rates. Write True or False.",2,0.5,True_False,CO2,K1
"Regularization techniques improve generalization performance. Write True or False.",2,0.5,True_False,CO2,K2
"Convolutional layers use local receptive fields. Write True or False.",3,0.5,True_False,CO3,K1
"CNNs use shared weights to reduce the number of parameters. Write True or False.",3,0.5,True_False,CO3,K1
"Pooling layers introduce trainable parameters. Write True or False.",3,0.5,True_False,CO3,K1
"Padding helps control the spatial size of feature maps. Write True or False.",3,0.5,True_False,CO3,K1
"Stride determines how the convolution filter moves across the input. Write True or False.",3,0.5,True_False,CO3,K1
"Deeper CNN layers capture higher-level features. Write True or False.",3,0.5,True_False,CO3,K1
"Flattening is required before fully connected layers. Write True or False.",3,0.5,True_False,CO3,K1
"Transfer learning starts training from random weights. Write True or False.",3,0.5,True_False,CO3,K1
"Max pooling provides translation invariance. Write True or False.",3,0.5,True_False,CO3,K1
"ReLU is commonly used as activation in CNNs. Write True or False.",3,0.5,True_False,CO3,K2
"RNNs process sequential data using shared parameters across time steps. Write True or False.",4,0.5,True_False,CO4,K1
"Vanilla RNNs suffer from vanishing gradient problems. Write True or False.",4,0.5,True_False,CO4,K1
"LSTM networks use gating mechanisms to control information flow. Write True or False.",4,0.5,True_False,CO4,K1
"GRUs have more gates than LSTMs. Write True or False.",4,0.5,True_False,CO4,K1
"Autoencoders are trained in an unsupervised manner. Write True or False.",4,0.5,True_False,CO4,K1
"Denoising autoencoders learn to reconstruct clean inputs from noisy data. Write True or False.",4,0.5,True_False,CO4,K1
"GANs consist of a generator and a discriminator. Write True or False.",4,0.5,True_False,CO4,K1
"VAEs model latent variables probabilistically. Write True or False.",4,0.5,True_False,CO4,K1
"Encoder–Decoder models are widely used in sequence-to-sequence tasks. Write True or False.",4,0.5,True_False,CO4,K1
"Backpropagation Through Time is used to train RNNs. Write True or False.",4,0.5,True_False,CO4,K2
"Object detection identifies both the class and location of objects. Write True or False.",5,0.5,True_False,CO5,K1
"YOLO performs object detection in a single stage. Write True or False.",5,0.5,True_False,CO5,K1
"Semantic segmentation assigns labels at the pixel level. Write True or False.",5,0.5,True_False,CO5,K1
"Instance segmentation distinguishes between different objects of the same class. Write True or False.",5,0.5,True_False,CO5,K1
"Image captioning combines computer vision and natural language processing. Write True or False.",5,0.5,True_False,CO5,K1
"Named Entity Recognition identifies entities such as names and locations. Write True or False.",5,0.5,True_False,CO5,K1
"Sentiment analysis focuses on syntactic structure only. Write True or False.",5,0.5,True_False,CO5,K1
"Attention mechanisms help models focus on relevant input parts. Write True or False.",5,0.5,True_False,CO5,K1
"Transformers rely primarily on attention mechanisms. Write True or False.",5,0.5,True_False,CO5,K1
"Multimodal learning combines information from multiple data sources. Write True or False.",5,0.5,True_False,CO5,K2
"Which optimizer maintains an exponentially decaying average of past squared gradients? (a) SGD (b) Momentum (c) RMSProp (d) Newton",2,0.5,MCQ,CO2,K2
"Which regularization technique penalizes the absolute value of weights? (a) L1 (b) L2 (c) Dropout (d) BatchNorm",2,0.5,MCQ,CO2,K2
"Which method helps escape shallow local minima? (a) Small learning rate (b) Momentum (c) Early stopping (d) Normalization",2,0.5,MCQ,CO2,K2
"Batch Normalization is usually applied (a) before activation (b) after activation (c) after loss (d) at output only",2,0.5,MCQ,CO2,K2
"Which issue is primarily addressed by gradient clipping? (a) Vanishing gradient (b) Exploding gradient (c) Overfitting (d) Bias",2,0.5,MCQ,CO2,K2
"Gradient clipping is used to control exploding gradients.",2,0.5,True_False,CO2,K2
"RMSProp adapts the learning rate for each parameter.",2,0.5,True_False,CO2,K2
"Batch Normalization eliminates the need for regularization.",2,0.5,True_False,CO2,K2
"L2 regularization discourages large weight values.",2,0.5,True_False,CO2,K2
"Early stopping can be considered an implicit regularization technique.",2,0.5,True_False,CO2,K2
"Which gate in LSTM controls how much new information is added to the cell state? (a) Forget (b) Input (c) Output (d) Reset",4,0.5,MCQ,CO4,K2
"GRU combines forget and input gates into which gate? (a) Reset (b) Update (c) Output (d) Memory",4,0.5,MCQ,CO4,K2
"In GAN training, instability mainly arises due to (a) Overfitting (b) Mode collapse (c) Vanishing gradients (d) Normalization",4,0.5,MCQ,CO4,K2
"Which model explicitly learns a probability distribution in latent space? (a) Autoencoder (b) VAE (c) CNN (d) RNN",4,0.5,MCQ,CO4,K2
"Backpropagation Through Time unfolds the network across (a) layers (b) batches (c) time steps (d) features",4,0.5,MCQ,CO4,K2
"Which gate in LSTM controls how much new information is added to the cell state? (a) Forget (b) Input (c) Output (d) Reset",4,0.5,MCQ,CO4,K2
"GRU combines forget and input gates into which gate? (a) Reset (b) Update (c) Output (d) Memory",4,0.5,MCQ,CO4,K2
"In GAN training, instability mainly arises due to (a) Overfitting (b) Mode collapse (c) Vanishing gradients (d) Normalization",4,0.5,MCQ,CO4,K2
"Which model explicitly learns a probability distribution in latent space? (a) Autoencoder (b) VAE (c) CNN (d) RNN",4,0.5,MCQ,CO4,K2
"Backpropagation Through Time unfolds the network across (a) layers (b) batches (c) time steps (d) features",4,0.5,MCQ,CO4,K2
